Wilayah,GunaLahan,LuasLahan,PersentaseLokal,FaktorPengali,IntensitasHujan,DebitLimpasanExisting
Cisait,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Cisait,Zona Badan Air,"0,000",0,"0,500","53,31",0
Cisait,Zona Kawasan Peruntukan Industri,"8,922","0,02492164208","0,800","53,31","2,576523387"
Cisait,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Cisait,Zona Perdagangan dan Jasa,"0,830","0,002319268747","0,950","53,31","0,1456181284"
Cisait,Zona Perkantoran,"0,078","0,0002172657014","0,950","53,31","0,01918869435"
Cisait,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Cisait,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Cisait,Zona Pertanian,"183,579","0,5128041564","0,560","53,31","13,21056512"
Cisait,Zona Peruntukan Lainnya,"0,015","0,0000431314208","0,600","53,31","0,001412445373"
Cisait,Zona Ruang Terbuka Hijau,"72,828","0,2034371323","0,600","53,31","4,659734321"
Cisait,Zona Ruang Terbuka Non Hijau,"0,230","0,0006418043329","0,700","53,31","0,02591834735"
Cisait,Zona Sarana Pelayanan Umum,"3,446","0,009626062184","0,950","53,31","0,616925379"
Cisait,Zona Perumahan,"74,733","0,2087563941","0,950","53,31","21,73976658"
Cisait,Zona Badan Jalan,"13,329","0,03723314269","0,700","53,31","3,046569827"
Sentul,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Sentul,Zona Badan Air,"0,726","0,002367338523","0,500","53,31","0,02297345602"
Sentul,Zona Kawasan Peruntukan Industri,"24,694","0,08057411349","0,800","53,31","6,137801304"
Sentul,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Sentul,Zona Perdagangan dan Jasa,"2,648","0,008641266722","0,950","53,31","0,4876244972"
Sentul,Zona Perkantoran,"0,090","0,0002923461791","0,950","53,31","0,02005594613"
Sentul,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Sentul,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Sentul,Zona Pertanian,"133,419","0,4353367488","0,560","53,31","8,28645166"
Sentul,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Sentul,Zona Ruang Terbuka Hijau,"53,185","0,1735383379","0,600","53,31","2,469941974"
Sentul,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Sentul,Zona Sarana Pelayanan Umum,"1,053","0,003437449766","0,950","53,31","0,2048538178"
Sentul,Zona Perumahan,"70,261","0,2292569737","0,950","53,31","19,91340859"
Sentul,Zona Badan Jalan,"20,397","0,06655542489","0,700","53,31","4,263942407"
Kendayakan,Zona Pengelolaan Persampahan,"0,000",0,"0,500","53,31",0
Kendayakan,Zona Badan Air,"0,049","0,000174459519","0,500","53,31","0,001354385255"
Kendayakan,Zona Kawasan Peruntukan Industri,"0,084","0,0003006139997","0,800","53,31","0,01901593603"
Kendayakan,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Kendayakan,Zona Perdagangan dan Jasa,"5,879","0,02102938955","0,950","53,31","1,337714814"
Kendayakan,Zona Perkantoran,"0,544","0,001947441639","0,950","53,31","0,1289193326"
Kendayakan,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Kendayakan,Zona Pertahanan dan Keamanan,"0,000",0,"0,700","53,31",0
Kendayakan,Zona Pertanian,"50,616","0,1810547061","0,560","53,31","3,496533661"
Kendayakan,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Kendayakan,Zona Ruang Terbuka Hijau,"116,832","0,4179080238","0,600","53,31","6,450804759"
Kendayakan,Zona Ruang Terbuka Non Hijau,"0,889","0,003180018157","0,700","53,31","0,1065356808"
Kendayakan,Zona Sarana Pelayanan Umum,"2,686","0,00960918374","0,950","53,31","0,439417259"
Kendayakan,Zona Perumahan,"88,895","0,3179762477","0,950","53,31","23,6139432"
Kendayakan,Zona Badan Jalan,"13,089","0,04681991572","0,700","53,31","3,071136183"
Kragilan,Zona Pengelolaan Persampahan,"0,083","0,0002254797262","0,500","53,31","0,01135152905"
Kragilan,Zona Badan Air,"10,728","0,02922245866","0,500","53,31","0,2991725393"
Kragilan,Zona Kawasan Peruntukan Industri,"188,415","0,5132342204","0,800","53,31","60,21328815"
Kragilan,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","53,31",0
Kragilan,Zona Perdagangan dan Jasa,"13,741","0,03742852819","0,950","53,31","3,058056387"
Kragilan,Zona Perkantoran,"1,177","0,00320526065","0,950","53,31","0,2622326799"
Kragilan,Zona Perkebunan Rakyat,"0,000",0,"0,800","53,31",0
Kragilan,Zona Pertahanan dan Keamanan,"0,645","0,001756878243","0,700","53,31","0,06877257688"
Kragilan,Zona Pertanian,"9,496","0,02586702327","0,560","53,31","0,6543136372"
Kragilan,Zona Peruntukan Lainnya,"0,000",0,"0,600","53,31",0
Kragilan,Zona Ruang Terbuka Hijau,"75,200","0,204840345","0,600","53,31","4,132674301"
Kragilan,Zona Ruang Terbuka Non Hijau,"0,000",0,"0,700","53,31",0
Kragilan,Zona Sarana Pelayanan Umum,"2,373","0,006465292881","0,950","53,31","0,4332415634"
Kragilan,Zona Perumahan,"45,197","0,123115016","0,950","53,31","10,4453081"
Kragilan,Zona Badan Jalan,"20,059","0,05463949696","0,700","53,31","4,238809983"
Kaserangan,Zona Pengelolaan Persampahan,"1,690","0,004457276353","0,500","44,27","0,1515397303"
Kaserangan,Zona Badan Air,"50,868","0,1341655341","0,500","44,27","1,448866792"
Kaserangan,Zona Kawasan Peruntukan Industri,"0,000",0,"0,800","44,27",0
Kaserangan,Zona Pembangkitan Tenaga Listrik,"0,000",0,"0,800","44,27",0
Kaserangan,Zona Perdagangan dan Jasa,"1,139","0,003005264781","0,950","44,27","0,1429050982"
Kaserangan,Zona Perkantoran,"2,123","0,005598646484","0,950","44,27","0,3223479673"
Kaserangan,Zona Perkebunan Rakyat,"0,000",0,"0,800","44,27",0
